customer_id,month,mrr_usd,add_on_usd
C0001,2024-01,111.8,27.46
C0001,2024-02,84.89,0.0
C0001,2024-03,112.61,28.29
C0001,2024-04,118.83,34.64
C0001,2024-05,111.39,27.04
C0001,2024-06,97.21,12.58
C0001,2024-07,105.84,21.38
C0001,2024-08,103.97,19.47
C0001,2024-09,106.21,21.76
C0001,2024-10,126.94,42.91
C0001,2024-11,103.7,19.19
C0001,2024-12,96.41,11.75
C0001,2025-01,114.56,30.28
C0001,2025-02,101.18,16.62
C0001,2025-03,107.37,22.94
C0001,2025-04,108.48,24.08
C0001,2025-05,108.47,24.07
C0001,2025-06,110.56,26.2
C0001,2025-07,86.21,1.34
C0002,2024-08,294.22,2.41
C0002,2024-09,331.53,41.69
C0002,2024-10,314.93,24.21
C0002,2024-11,298.27,6.68
C0002,2024-12,326.38,36.26
C0002,2025-01,319.5,29.02
C0002,2025-02,320.15,29.71
C0002,2025-03,326.22,36.09
C0002,2025-04,291.93,0.0
C0002,2025-05,308.23,17.16
C0002,2025-06,315.7,25.02
C0002,2025-07,305.2,13.97
C0003,2024-02,74.52,0.0
C0003,2024-03,103.36,29.73
C0003,2024-04,99.14,25.38
C0003,2024-05,112.73,39.4
C0003,2024-06,90.8,16.78
C0003,2024-07,110.89,37.49
C0003,2024-08,74.52,0.0
C0004,2024-01,79.86,0.0
C0005,2024-01,274.35,158.22
C0005,2024-02,297.79,182.14
C0005,2024-03,284.39,168.46
C0005,2024-04,278.94,162.9
C0005,2024-05,278.24,162.18
C0005,2024-06,260.19,143.77
C0005,2024-07,284.69,168.77
C0005,2024-08,286.86,170.98
C0005,2024-09,280.78,164.78
C0005,2024-10,294.16,178.43
C0006,2024-01,472.11,82.52
C0007,2025-02,1167.93,16.29
C0007,2025-03,1187.22,40.71
C0007,2025-04,1175.9,26.39
C0007,2025-05,1200.85,57.96
C0007,2025-06,1197.09,53.21
C0007,2025-07,1202.44,59.98
C0008,2024-01,84.96,22.36
C0008,2024-02,80.11,16.9
C0008,2024-03,87.0,24.64
C0008,2024-04,65.06,0.0
C0008,2024-05,65.87,0.91
C0008,2024-06,96.54,35.36
C0008,2024-07,97.05,35.94
C0008,2024-08,100.38,39.68
C0008,2024-09,65.06,0.0
C0008,2024-10,65.66,0.67
C0008,2024-11,84.34,21.66
C0008,2024-12,93.08,31.48
C0008,2025-01,87.64,25.36
C0008,2025-02,76.71,13.09
C0008,2025-03,74.14,10.2
C0008,2025-04,71.08,6.76
C0008,2025-05,74.61,10.72
C0008,2025-06,65.06,0.0
C0008,2025-07,75.95,12.23
