customer_id,month,weekly_active_days_avg,queries_run,seats_used,support_tickets,nps,discount_pct
C0001,2024-01,3.58,298,8,2,55,0.02
C0001,2024-02,1.85,400,8,1,48,0.02
C0001,2024-03,2.16,316,8,4,37,0.02
C0001,2024-04,2.6,284,8,4,45,0.02
C0001,2024-05,3.04,284,8,0,57,0.02
C0001,2024-06,2.95,334,8,3,39,0.02
C0001,2024-07,2.98,418,8,2,45,0.02
C0001,2024-08,1.36,239,8,0,25,0.02
C0001,2024-09,2.55,282,8,2,47,0.02
C0001,2024-10,1.9,228,8,0,52,0.02
C0001,2024-11,1.19,312,8,1,45,0.02
C0001,2024-12,2.73,222,8,2,45,0.02
C0001,2025-01,2.93,134,8,1,61,0.02
C0001,2025-02,1.09,295,8,1,25,0.02
C0001,2025-03,2.19,155,8,2,61,0.02
C0001,2025-04,1.03,139,8,1,23,0.02
C0001,2025-05,2.41,223,8,3,28,0.02
C0001,2025-06,0.09,111,8,2,57,0.02
C0001,2025-07,0.85,232,8,2,46,0.02
C0002,2024-08,4.28,836,4,3,58,0.05
C0002,2024-09,3.41,619,4,3,51,0.05
C0002,2024-10,3.77,604,4,1,53,0.05
C0002,2024-11,4.18,816,4,5,85,0.05
C0002,2024-12,2.6,578,4,3,39,0.05
C0002,2025-01,3.37,556,4,0,60,0.05
C0002,2025-02,1.9,486,4,0,70,0.05
C0002,2025-03,2.44,686,4,1,51,0.05
C0002,2025-04,4.12,432,4,1,59,0.05
C0002,2025-05,2.81,724,4,3,64,0.05
C0002,2025-06,2.39,585,4,2,72,0.05
C0002,2025-07,2.43,699,4,0,58,0.05
C0003,2024-02,3.14,321,4,0,48,0.03
C0003,2024-03,4.42,306,4,4,54,0.03
C0003,2024-04,2.94,302,4,0,69,0.03
C0003,2024-05,2.87,337,4,0,59,0.03
C0003,2024-06,2.97,294,4,1,50,0.03
C0003,2024-07,2.33,269,4,0,57,0.03
C0003,2024-08,2.91,280,4,1,37,0.03
C0004,2024-01,2.36,333,5,2,41,0.0
C0005,2024-01,2.8,974,73,0,44,0.02
C0005,2024-02,1.44,989,73,0,36,0.02
C0005,2024-03,1.28,908,73,1,41,0.02
C0005,2024-04,1.9,932,73,3,56,0.02
C0005,2024-05,1.35,885,73,0,43,0.02
C0005,2024-06,2.4,926,73,1,34,0.02
C0005,2024-07,1.65,870,73,3,55,0.02
C0005,2024-08,0.0,1001,73,2,21,0.02
C0005,2024-09,1.71,915,73,1,52,0.02
C0005,2024-10,3.28,900,73,2,36,0.02
C0006,2024-01,1.06,827,26,2,21,0.06
C0007,2025-02,5.99,1766,3,1,74,0.21
C0007,2025-03,6.84,2135,3,2,73,0.21
C0007,2025-04,4.03,1607,3,1,51,0.21
C0007,2025-05,5.03,1849,3,2,75,0.21
C0007,2025-06,5.41,1905,3,1,67,0.21
C0007,2025-07,3.98,2209,3,2,46,0.21
C0008,2024-01,2.27,298,3,1,35,0.11
C0008,2024-02,2.19,181,3,2,44,0.11
C0008,2024-03,1.44,284,3,0,65,0.11
C0008,2024-04,2.59,189,3,3,55,0.11
C0008,2024-05,1.62,238,3,0,23,0.11
C0008,2024-06,1.23,191,3,0,55,0.11
C0008,2024-07,1.27,252,3,0,57,0.11
C0008,2024-08,0.33,223,3,2,38,0.11
C0008,2024-09,1.37,124,3,1,34,0.11
C0008,2024-10,1.97,214,3,3,32,0.11
